Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm,geometry.type,geometry.coordinates,latitude,longitude
82,1600000,"37 The Old Golf Links, Malahide, Co. Dublin",5,3,200.0,8000.0,Point,"[-6.1464503, 53.44916079999999]",53.44916079999999,-6.1464503
83,975000,"120 Ard Na Mara, Malahide, Co. Dublin",4,2,153.0,6373.0,Point,"[-6.1729387, 53.4497846]",53.4497846,-6.1729387
84,1400000,"Cranford Hall, Estuary Road, Malahide, Co. Dublin",5,2,299.0,4682.0,Point,"[-6.1822945, 53.4539377]",53.4539377,-6.1822945
85,625000,"27 Grace Park Grove, Grace Park Wood, Drumcondra, Dublin 3",3,3,105.0,5952.0,Point,"[-6.2456146, 53.3689644]",53.3689644,-6.2456146
86,595000,"88 Murphystown Road, Leopardstown, Dublin 18",4,3,108.0,5509.0,Point,"[-6.2104914, 53.26666720000001]",53.26666720000001,-6.2104914
87,300000,"Apartment 88, Burnell Square, Mayne River Avenue, Malahide Road, Northern Cross",2,2,64.0,4688.0,Point,"[-6.1801432, 53.40422100000001]",53.40422100000001,-6.1801432
88,245000,"Apartment 4, Ballymount Square, Ballymount, Dublin 12",1,1,60.0,4083.0,Point,"[-6.3442431, 53.3142639]",53.3142639,-6.3442431
89,245000,"10 The Square, Larch Hill, Dublin 9",2,1,64.0,3828.0,Point,"[-6.2268288, 53.3986145]",53.3986145,-6.2268288
90,485000,"43 Lambay Road, Drumcondra, Drumcondra, Dublin 9",2,1,86.0,5640.0,Point,"[-6.261585699999999, 53.3773511]",53.3773511,-6.261585699999999
91,295000,"43 Prospect Avenue, Glasnevin, Dublin 9",2,1,61.0,4836.0,Point,"[-6.2715272, 53.3672437]",53.3672437,-6.2715272
92,475000,"25 Castleknock Elms, Castleknock, Castleknock, Dublin 15",3,2,100.0,4750.0,Point,"[-6.372775499999999, 53.37714459999999]",53.37714459999999,-6.372775499999999
93,350000,"Apartment 28, Christchurch View, Christchurch, Dublin 8",2,1,56.0,6250.0,Point,"[-6.271094199999999, 53.342423]",53.342423,-6.271094199999999
94,445000,"Apartment 53, Hazelbrook, Goatstown, Dublin 14",2,2,75.0,5933.0,Point,"[-6.2949587, 53.3130886]",53.3130886,-6.2949587
