Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
216,695000,"7 Talbot Road, Malahide, Co. Dublin",4,4,144.0,4826.0
217,340000,"110 Comeragh Road, Drimnagh, Dublin 12",3,2,81.0,4198.0
218,199950,"Apartment 2, Wikeford Hall, Thornleigh Road, Swords, Co. Dublin",2,2,61.0,3278.0
219,369000,"9 Heather Grove, Palmerstown, Dublin 20",3,1,83.0,4446.0
220,200000,"30 Hillview, Mount Talbot, Clondalkin, Dublin 22",1,1,49.0,4082.0
221,295000,"37 Alderwood Park, Tallaght, Dublin 24",3,1,95.0,3105.0
222,325000,"30 Cairnwood Court, Belgard, Tallaght, Dublin 24",3,1,80.0,4062.0
223,475000,"39 Rathmill Green, Rathcoole, Co. Dublin",4,4,181.0,2624.0
224,300000,"18 Beechfield Haven, Beechfield Manor, Shankill, Dublin 18",2,1,68.0,4412.0
225,475000,"Apartment 5, Bissett's Loft, Malahide, Co. Dublin",2,2,72.0,6597.0
226,320000,"Apartment 12 Grande Central, Rockbrook, Sandyford, Dublin 18",1,1,58.0,5517.0
227,340000,"3 Bealing Grove, Tyrellstown, Tyrrelstown, Dublin 15",3,3,95.0,3579.0
228,695000,"14 Vale View Lawn The Park Cabinteely Dublin 18, Cabinteely, Dublin 18",4,2,135.0,5148.0
229,370000,"19 Waterside Way, Swords Road, Malahide, Co. Dublin",3,3,100.0,3700.0
230,365000,"62 Waterside Court, Swords Road, Malahide, Co. Dublin",3,2,107.0,3411.0
231,425000,"35 Grove Park Road, Glasnevin, D11 HY86, Dublin 11",3,1,85.0,5000.0
232,490000,"12A Pinewood Crescent, Glasnevin, D11R597, Dublin 11",3,3,135.0,3630.0
233,280000,"4 Roby Hall Crofton Avenue Dun Laoghaire, Dun Laoghaire, Co. Dublin",1,1,41.0,6829.0
234,365000,"44 Cameron Square, Kilmainham, Kilmainham, Dublin 8",3,1,75.0,4867.0
235,375000,"23 Cameron Square, Kilmainham, Kilmainham, Dublin 8",2,1,72.0,5208.0
