,price,address,bedrooms,bathrooms,floor_area,district,neighbourhood,price_sqm
182,515000,"Apartment 86, Block A, Smithfield, Dublin 1",3,2,92.0,Dublin 1, Smithfield,5598.0
183,659000,"169 New Cabra Road, Cabra, Dublin 7",3,2,140.0,Dublin 7, Cabra,4707.0
184,800000,"Flat 1, 61 North Circular Road, Dublin 7",4,3,190.0,Dublin 7, 61 North Circular Road,4211.0
185,520000,"2 Faulkners Terrace, Kilmainham, Kilmainham, Dublin 8",2,2,102.0,Dublin 8, Kilmainham,5098.0
186,545000,"Granuaile, 4A Brookstone Road, Baldoyle, Dublin 13",3,2,103.0,Dublin 13, Baldoyle,5291.0
187,895000,"13 Church Gardens, Rathmines, Dublin 6",2,3,125.0,Dublin 6, Rathmines,7160.0
188,1500000,"2 Charleville Manor, Knocklyon, Dublin 16",5,6,369.0,Dublin 16, Knocklyon,4065.0
189,255000,"Apt 6 Kingscourt, Aughrim St, Dublin 7",1,1,43.0,Dublin 7, Aughrim St,5930.0
190,285000,"10 Ferns Road, Crumlin, Dublin 12",2,1,66.0,Dublin 12, Crumlin,4318.0
191,275000,"53 McKelvey Avenue D11 C9P0, Finglas, Dublin 11",3,1,72.0,Dublin 11, Finglas,3819.0
192,199000,"Apartment 4, 3 Railway Road, Clongriffin, Dublin 13",1,1,50.0,Dublin 13, Clongriffin,3980.0
193,295000,"57 Viking Road, Arbour Hill, Stoneybatter, Dublin 7",2,1,55.0,Dublin 7, Stoneybatter,5364.0
194,695000,"Apartment 16, Lansdowne Wood, Lansdowne Road, Ballsbridge, Dublin 4",2,2,103.0,Dublin 4, Ballsbridge,6748.0
195,475000,"137 Temple Gardens, Northwood, Santry, Dublin 9",3,2,136.0,Dublin 9, Santry,3493.0
196,1295000,"Tír Na Nóg, 138 Howth Road, Howth, Dublin 13",4,2,211.0,Dublin 13, Howth,6137.0
197,475000,"142 Alexandra Building, Adelaide Square, Whitefriar Street, Dublin 8",2,1,69.0,Dublin 8, Whitefriar Street,6884.0
198,365000,"17 Hampton Wood Road, Finglas, Dublin 11",4,3,139.0,Dublin 11, Finglas,2626.0
199,295000,"21 Adare Green, Coolock, Dublin 17",2,1,74.0,Dublin 17, Coolock,3986.0
200,375000,"Apartment 9, Marlfield House, Cabinteely, Dublin 18",2,2,77.0,Dublin 18, Cabinteely,4870.0
201,540000,"13 Rollins Villas, Sallynoggin, Co. Dublin",3,2,93.0,Glenageary, Sallynoggin,5806.0
202,285000,"Apartment 7 Atrium Apartments, 30 Island Street, Christchurch, Dublin 8",2,1,60.0,Dublin 8, Christchurch,4750.0
203,660000,"29 Sutton Lawns, Sutton, Dublin 13",4,2,136.0,Dublin 13, Sutton,4853.0
204,299000,"45 Balrothery Estate, Tallaght, Tallaght, Dublin 24",3,1,93.0,Dublin 24, Tallaght,3215.0
205,320000,"Block C, 118 Castleforbes Sq, IFSC, Dublin 1",1,1,50.0,Dublin 1, IFSC,6400.0
206,240000,"19 Sundale Close, Tallaght, Dublin 24",3,1,81.0,Dublin 24, Tallaght,2963.0
207,295000,"Apartment 4, Convent Lane, Dun Laoghaire, Co. Dublin",1,1,55.0,Glenageary, Dun Laoghaire,5364.0
208,1100000,"1 Cranford, Terenure Road West, Dublin 6W",5,3,204.0,Dublin 6W, Terenure Road West,5392.0
209,385000,"Apartment 49, Cloonlara Square, Phoenix Park Racecourse, Castleknock, Dublin 15",2,2,86.0,Dublin 15, Castleknock,4477.0
210,1350000,"74 Brighton Road, Rathgar, Rathgar, Dublin 6",3,1,162.0,Dublin 6, Rathgar,8333.0
211,1150000,"33 Mountpleasant Avenue Lower, Rathmines, Ranelagh, Dublin 6",3,2,186.0,Dublin 6, Ranelagh,6183.0
212,300000,"13 Deerpark Green, Kiltipper Road, Tallaght, Dublin 24",3,3,102.0,Dublin 24, Tallaght,2941.0
213,295000,"97 Downpatrick Road, Crumlin, Crumlin, Dublin 12",3,1,78.0,Dublin 12, Crumlin,3782.0
214,1200000,"41 Pembroke Lane, Ballsbridge, Dublin 4",3,3,138.0,Dublin 4, Ballsbridge,8696.0
215,235000,"15 Westend Gate, Tallaght, Dublin 24",2,2,67.0,Dublin 24, Tallaght,3507.0
216,295000,"4 Rosedale Drive, Clonee, Dublin 15",3,3,104.0,Dublin 15, Clonee,2837.0
217,325000,"134 The Belfry, Belarmine, Stepaside, Dublin 18",2,1,71.0,Dublin 18, Stepaside,4577.0
218,650000,"78 Watson Park Killiney, Killiney, Co. Dublin",4,2,140.0,Glenageary, Killiney,4643.0
219,335000,"50 Edenmore Crescent, Raheny, Dublin 5",3,1,85.0,Dublin 5, Raheny,3941.0
220,495000,"2 All Saints Road, Raheny, Dublin 5",3,1,76.0,Dublin 5, Raheny,6513.0
221,475000,"14 Woodbine Drive, Raheny, Dublin 5",3,1,93.0,Dublin 5, Raheny,5108.0
222,285000,"Apt 99, Block 1, The Watermill, Raheny, Dublin 5",2,2,60.0,Dublin 5, Raheny,4750.0
223,249000,"36 Cherryfield Walk, Hartstown, D15Y5WX, Dublin 15",2,1,64.0,Dublin 15, D15Y5WX,3891.0
224,750000,"16 Temple Hall, Mount St Annes, Milltown, Dublin 6",3,2,103.0,Dublin 6, Milltown,7282.0
225,875000,"15 Offington Drive, Sutton, Sutton, Dublin 13",5,2,164.0,Dublin 13, Sutton,5335.0
226,235000,"15 Westend Gate, Tallaght, Dublin 24",2,2,67.0,Dublin 24, Tallaght,3507.0
227,495000,"61 Dowth Avenue, Cabra, Cabra, Dublin 7",3,2,74.0,Dublin 7, Cabra,6689.0
228,490000,"175 Collinswood, Collins Avenue, Dublin 9",3,3,89.0,Dublin 9, Collins Avenue,5506.0
