,price,address,bedrooms,bathrooms,floor_area
126,"€300,000 ","59 Gleann Na Ri, Cherrywood, Cabinteely, Dublin 18",2 Bed,1 Bath,60 m²
127,"€380,000 ","10 Oldbridge Green, Lucan, Co. Dublin",3 Bed,3 Bath,102 m²
128,"€595,000 ","62 Belgrove Lawn, Chapelizod, Dublin 20",4 Bed,2 Bath,135 m²
129,"€550,000 ","Barr Na Coille, Barr Na Coille, 36E Chapelizod Hill Road, Chapelizod, Dublin 20",4 Bed,3 Bath,173 m²
130,"€260,000 ","83 The Steeples, Chapelizod, Dublin 20",2 Bed,1 Bath,57 m²
131,"€525,000 ","2 Chanel Road, Artane, Coolock, Dublin 5",4 Bed,3 Bath,155 m²
132,"€545,000 ","58 Laurel Park, Clondalkin, Dublin 22",4 Bed,2 Bath,214 m²
133,"€465,000 ","2 Kiltipper Drive, Aylesbury, Tallaght, Dublin 24",3 Bed,1 Bath,108 m²
134,"€545,000 ","22 Brownsbarn Wood, Kingswood, Tallaght, Dublin 24",4 Bed,4 Bath,185 m²
135,"€450,000 ","146 Broadmeadows, Swords, Co. Dublin",5 Bed,2 Bath,126 m²
136,"€495,000 ","274A Glasnevin Avenue, Glasnevin, Dublin 11",4 Bed,3 Bath,111 m²
137,"€495,000 ","46 Knockabawn, Rush, Co. Dublin",4 Bed,2 Bath,161 m²
138,"€225,000 ","31 Marlfield Place, Kiltipper, Dublin 24",2 Bed,1 Bath,55 m²
139,"€295,000 ","38 Morrow House, Longfield Road, The Coast, Baldoyle, Dublin 13",2 Bed,2 Bath,70 m²
140,"€475,000 ","3 Taobh Na Coille, Old Knocklyon Road, Knocklyon, Dublin 16",3 Bed,3 Bath,88 m²
141,"€299,000 ","14 St Brendan's Park, Coolock, Dublin 5",3 Bed,1 Bath,96 m²
142,"€375,000 ","21 Glenarm Square, Drumcondra, Dublin 9",2 Bed,1 Bath,70 m²
143,"€450,000 ","12 Belltree Walk, Belltree, Clongriffin, Dublin 13",3 Bed,3 Bath,130 m²
144,"€475,000 ","19 Park Street, Clongriffin, Dublin 13",3 Bed,3 Bath,117 m²
145,"€325,000 ","12 Broomfield Hall, Broomfield Court, Shankill, Dublin 18",2 Bed,2 Bath,82 m²
146,"€595,000 ","19 Ardeevin Drive, Lucan, Co. Dublin",4 Bed,2 Bath,147 m²
147,"€495,000 ","13 Balnagowan, Palmerston Park, Rathmines, Dublin 6",2 Bed,2 Bath,74 m²
148,"€375,000 ","224 Olcovar, Shankill, Dublin 18",2 Bed,2 Bath,72 m²
149,"€975,000 ","Altis, Ballinclea Road, Killiney, Co. Dublin",5 Bed,2 Bath,177 m²
150,"€395,000 ","19 Canon Hall, Church Street East, East Wall, Dublin 3",2 Bed,2 Bath,62 m²
151,"€330,000 ","85 Kilworth Road, Drimnagh, Dublin 12",3 Bed,1 Bath,106 m²
152,"€425,000 ","34 Elmcastle Walk. D24 YW13, Kilnamanagh|Dublin 24, Kilnamanagh, Dublin 24",3 Bed,2 Bath,133 m²
153,"€249,000 ","63 Blackditch Road, Ballyfermot, Dublin 10",2 Bed,1 Bath,86 m²
154,"€295,000 ","4 Slievemore Road, Drimnagh, Dublin 12",2 Bed,1 Bath,86 m²
155,"€345,000 ","27 Woodford Downs, Clondalkin, Dublin 22",4 Bed,2 Bath,126 m²
156,"€199,500 ","Apt 1 Block A The Steeples, St Laurence€TM Road, Chapelizod, Dublin 20",1 Bed,1 Bath,40 m²
157,"€379,000 ","14 Thornleigh Square, Swords, Co. Dublin",5 Bed,4 Bath,157 m²
158,"€395,000 ","26 Beneavin Park, Glasnevin, D11N5H0, Dublin 11",3 Bed,1 Bath,89 m²
159,"€245,000 ","239 Premier Square, Finglas, D11XN26, Dublin 11",2 Bed,2 Bath,59 m²
160,"€650,000 ","4 Kelston Avenue Foxrock Dublin 18, Foxrock, Dublin 18",3 Bed,3 Bath,113 m²
